,Player,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att (GK),Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist
0,Alisson,24,0.67,99,76,75.8,27,7,2,20,55.6,0,0,0,0,24,0,0,3,1,24.4,0.25,1.4,0.04,114,258,44.2,1216,211,16.5,26.3,172,33.1,33.4,340,22,6.5,89,2.47,18.7
1,Alphonse Areola,1,1.0,3,2,66.7,0,0,1,0,0.0,0,0,0,0,1,0,0,0,0,1.2,0.39,0.2,0.17,9,28,32.1,26,3,69.2,46.3,14,71.4,48.5,15,1,6.7,0,0.0,5.5
2,Kepa Arrizabalaga,2,0.5,13,11,84.6,2,1,1,2,50.0,0,0,0,0,2,0,0,1,0,3.2,0.25,1.2,0.3,8,29,27.6,117,29,19.7,26.4,21,28.6,27.6,44,2,4.5,8,2.0,18.8
3,Daniel Bachmann,28,2.33,72,46,65.3,1,0,11,0,0.0,3,3,0,0,28,3,1,3,2,23.2,0.3,-2.8,-0.23,71,207,34.3,275,47,53.8,40.9,87,67.8,47.8,187,7,3.7,12,1.0,16.1
4,Asmir Begović,8,2.67,18,11,61.1,1,0,2,1,33.3,1,1,0,0,8,1,0,3,1,4.2,0.18,-2.8,-0.94,20,62,32.3,54,5,74.1,48.9,31,71.0,51.3,50,3,6.0,2,0.67,10.7
5,Jack Butland,13,1.53,28,16,53.6,2,4,2,1,12.5,1,0,1,0,13,0,1,1,2,9.7,0.31,-1.3,-0.16,25,93,26.9,221,40,28.5,29.8,66,45.5,36.3,139,11,7.9,7,0.82,11.2
6,Willy Caballero,5,2.5,11,6,54.5,0,1,1,0,0.0,0,0,0,0,5,0,0,1,0,3.3,0.31,-1.7,-0.85,17,36,47.2,47,0,51.1,38.4,13,92.3,56.5,33,1,3.0,4,2.0,14.0
7,Karl Darlow,15,1.87,37,23,64.9,0,5,3,0,0.0,2,2,0,0,15,2,0,1,1,9.5,0.21,-4.5,-0.56,72,163,44.2,187,28,61.5,44.5,62,77.4,56.7,106,5,4.7,4,0.5,10.5
8,Martin Dúbravka,35,1.35,106,72,67.9,13,4,9,8,30.8,1,1,0,0,35,1,0,7,1,34.0,0.32,0.0,0.0,207,497,41.6,605,88,46.3,37.0,236,91.9,60.5,360,22,6.1,14,0.54,11.9
9,Ederson,26,0.7,83,57,69.9,28,6,3,20,54.1,1,1,0,0,26,1,0,1,0,25.7,0.3,-0.3,-0.01,87,182,47.8,988,165,15.7,25.7,138,19.6,26.8,300,21,7.0,55,1.49,19.0
10,Łukasz Fabiański,50,1.35,162,111,70.4,16,8,13,8,21.6,6,2,3,1,50,2,2,8,2,46.8,0.26,-1.2,-0.03,193,525,36.8,736,164,48.9,38.2,277,59.6,44.4,595,28,4.7,12,0.32,10.4
11,Álvaro Fernández,24,2.0,69,47,66.7,3,2,7,1,8.3,1,1,0,0,24,1,0,5,2,19.9,0.28,-2.1,-0.17,64,216,29.6,433,60,40.4,33.9,83,49.4,36.9,194,9,4.6,18,1.5,16.8
12,Fraser Forster,35,1.84,101,68,67.3,6,5,8,3,15.8,2,2,0,0,35,2,0,5,2,32.4,0.31,-0.6,-0.03,105,330,31.8,461,71,50.1,39.6,140,70.7,49.5,285,19,6.7,24,1.26,12.3
13,Ben Foster,49,1.88,116,67,60.3,5,5,16,4,15.4,4,3,1,0,49,3,0,3,1,37.1,0.29,-10.9,-0.42,196,622,31.5,657,76,64.1,44.7,223,90.1,60.6,455,20,4.4,37,1.42,15.9
14,David de Gea,57,1.5,180,124,70.0,16,10,12,8,21.1,5,3,2,0,57,3,0,4,3,55.1,0.29,1.1,0.03,103,315,32.7,623,134,30.0,30.9,299,42.8,35.9,525,8,1.5,25,0.66,14.0
15,Vicente Guaita,33,1.12,116,83,74.1,9,11,10,11,36.7,3,3,0,0,33,3,1,10,0,28.8,0.23,-4.2,-0.14,105,282,37.2,778,182,26.6,28.3,201,37.3,31.5,386,17,4.4,36,1.22,16.3
16,Angus Gunn,22,2.44,57,34,64.9,1,2,6,1,11.1,4,2,1,1,22,2,0,2,0,19.3,0.3,-2.7,-0.3,45,129,34.9,219,47,43.4,34.5,86,39.5,34.5,175,3,1.7,14,1.56,17.3
17,Wayne Hennessey,6,3.0,13,8,53.8,0,0,2,0,0.0,0,0,0,0,6,0,0,1,1,3.2,0.26,-1.8,-0.91,27,63,42.9,57,7,77.2,50.8,21,90.5,63.6,37,0,0.0,4,2.0,17.0
18,Caoimhín Kelleher,2,1.0,8,6,75.0,1,1,0,1,50.0,0,0,0,0,2,0,0,0,0,2.2,0.28,0.2,0.11,2,10,20.0,78,13,11.5,22.7,13,7.7,23.0,20,0,0.0,3,1.5,17.1
19,Kristoffer Klaesson,0,0.0,4,4,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.6,0.14,0.6,1.38,1,3,33.3,8,2,25.0,30.4,3,33.3,28.7,7,0,0.0,2,5.0,23.7
20,Tim Krul,62,2.14,165,105,66.7,4,5,20,5,17.2,8,7,0,1,62,7,1,7,2,48.3,0.27,-11.7,-0.4,134,399,33.6,847,168,34.5,34.3,224,47.8,40.1,442,14,3.2,19,0.66,12.6
21,Bernd Leno,9,2.25,19,10,52.6,1,0,3,1,25.0,0,0,0,0,9,0,0,0,0,9.4,0.5,0.4,0.11,17,53,32.1,77,13,35.1,33.8,37,70.3,50.4,73,6,8.2,1,0.25,7.3
22,Hugo Lloris,40,1.05,137,98,72.3,22,5,11,16,42.1,2,2,0,0,40,2,1,5,1,37.6,0.26,-1.4,-0.04,115,279,41.2,676,161,29.6,31.0,278,28.4,26.5,567,33,5.8,45,1.18,14.2
23,Jonas Lössl,5,2.5,7,2,28.6,0,0,2,0,0.0,0,0,0,0,5,0,0,0,0,3.2,0.46,-1.8,-0.9,9,25,36.0,48,6,43.8,35.7,13,30.8,31.7,30,1,3.3,5,2.5,22.7
24,Emiliano Martínez,48,1.33,140,93,68.6,13,6,17,11,30.6,6,4,1,1,48,4,2,5,2,42.1,0.27,-3.9,-0.11,146,406,36.0,824,162,36.4,33.6,275,38.5,34.1,474,34,7.2,33,0.92,15.4
25,Alex McCarthy,27,1.59,71,44,62.0,3,7,7,5,29.4,0,0,0,0,27,0,0,6,0,21.5,0.31,-5.5,-0.32,74,246,30.1,383,78,40.7,34.7,125,72.0,50.6,255,22,8.6,5,0.29,9.6
26,Edouard Mendy,31,0.91,102,72,75.5,19,10,5,14,41.2,6,6,0,0,31,6,0,1,1,28.4,0.22,-1.6,-0.05,83,193,43.0,779,154,18.9,25.3,177,26.0,24.9,375,28,7.5,46,1.35,14.9
27,Illan Meslier,79,2.1,220,142,66.4,9,11,18,5,13.2,5,5,0,0,79,5,3,10,1,61.8,0.26,-16.2,-0.43,108,410,26.3,1101,274,27.5,29.3,288,37.2,33.3,438,23,5.3,45,1.2,14.2
28,Robin Olsen,3,3.0,5,2,40.0,0,0,1,0,0.0,0,0,0,0,3,0,0,0,0,2.2,0.44,-0.8,-0.78,8,25,32.0,26,7,46.2,38.3,20,65.0,48.6,28,5,17.9,0,0.0,5.8
29,Jordan Pickford,58,1.66,170,116,66.5,10,6,19,7,20.0,1,1,0,0,58,1,2,10,4,51.7,0.31,-2.3,-0.07,272,782,34.8,873,119,64.6,46.4,267,81.6,60.5,518,23,4.4,35,1.0,14.9
30,Nick Pope,47,1.31,165,119,74.5,7,14,15,9,25.0,5,5,0,0,47,5,1,6,1,44.3,0.25,-1.7,-0.05,319,807,39.5,793,147,69.2,46.2,283,91.2,61.2,605,46,7.6,80,2.22,17.4
31,Aaron Ramsdale,39,1.15,128,90,73.4,21,3,10,12,35.3,6,5,0,1,39,5,0,3,1,38.2,0.26,0.2,0.0,134,480,27.9,993,162,34.8,33.2,181,74.0,55.1,414,26,6.3,60,1.76,16.4
32,David Raya,27,1.13,103,76,77.7,10,5,9,8,33.3,4,4,0,0,27,4,1,3,0,26.2,0.22,-0.8,-0.03,225,527,42.7,876,118,44.4,36.2,202,68.3,49.9,402,27,6.7,35,1.46,15.8
33,John Ruddy,3,2.0,7,4,57.1,0,1,0,0,0.0,0,0,0,0,3,0,0,1,0,2.9,0.42,-0.1,-0.05,1,11,9.1,19,4,42.1,36.1,14,21.4,28.5,13,1,7.7,1,0.67,14.2
34,José Sá,40,1.1,160,121,80.6,15,5,17,11,29.7,10,9,0,1,40,9,1,1,1,46.3,0.24,7.3,0.2,121,412,29.4,844,216,35.4,34.7,261,43.3,36.9,549,43,7.8,40,1.1,13.3
35,Robert Sánchez,42,1.14,141,99,72.3,12,15,10,11,29.7,4,3,0,1,42,3,1,5,0,40.9,0.28,-1.1,-0.03,158,561,28.2,1285,186,31.9,33.0,234,64.5,48.9,517,60,11.6,36,0.97,12.9
36,Kasper Schmeichel,58,1.57,187,128,72.7,13,10,14,7,18.9,9,7,2,0,58,7,1,14,1,55.5,0.26,-1.5,-0.04,194,486,39.9,999,166,36.0,34.1,291,43.3,37.5,533,15,2.8,38,1.03,14.8
37,Jason Steele,2,2.0,5,3,60.0,0,0,1,0,0.0,0,0,0,0,2,0,0,1,0,1.6,0.33,-0.4,-0.37,2,6,33.3,32,2,9.4,23.9,6,50.0,40.0,16,0,0.0,0,0.0,9.3
38,Jed Steer,3,3.0,4,1,25.0,0,0,1,0,0.0,0,0,0,0,3,0,0,0,0,2.2,0.55,-0.8,-0.81,3,11,27.3,32,7,28.1,30.4,6,33.3,31.2,11,1,9.1,1,1.0,16.3
39,Zack Steffen,0,0.0,2,2,100.0,1,0,0,1,100.0,0,0,0,0,0,0,0,0,0,0.1,0.07,0.1,0.15,1,6,16.7,32,6,15.6,23.4,7,14.3,19.3,10,0,0.0,3,3.0,16.6
40,Danny Ward,1,1.0,5,4,80.0,1,0,0,0,0.0,0,0,0,0,1,0,0,1,0,1.4,0.28,0.4,0.42,2,5,40.0,26,8,19.2,25.8,7,0.0,19.3,18,1,5.6,1,1.0,10.7
41,Freddie Woodman,12,3.0,22,9,54.5,0,1,3,0,0.0,3,2,1,0,12,2,0,0,0,8.8,0.29,-3.2,-0.8,23,66,34.8,79,11,50.6,38.1,39,66.7,47.9,55,3,5.5,0,0.0,7.8
